target_point;heading;velocity;acceleration;stay_point
no;-3.29834;-1.41807;-0.236431;no
no;-3.0989;-1.43437;-0.239912;no
yes;-6.09934;1.41148;0.236621;no
no;-6.29538;1.43557;0.239903;no
no;-4.7446;0.046238;0.011537;no
no;-1.53391;0.05295;0.005042;no
yes;-2.55257;-0.733422;-0.23991;yes
no;-2.87018;-0.849774;-0.229938;no
no;-2.64441;-0.775272;-0.239494;no
no;-5.43787;0.585245;0.230428;no
no;-5.65944;0.715969;0.23954;no
no;-4.17614;-0.450658;0.006173;no
no;-0.987987;0.485462;0.005001;no
no;-3.18475;-1.69058;-0.319516;yes
no;-3.4102;-1.63147;-0.315362;no
no;-3.21012;-1.68818;-0.319859;no
yes;-6.21581;1.68831;0.315626;no
no;-6.41251;1.67802;0.319844;no
no;-4.85968;0.248342;0.015721;no
no;-1.64837;-0.131139;0.006581;no
yes;-2.6067;-0.721167;-0.319935;yes
no;-2.92057;-0.81786;-0.306286;no
no;-2.69181;-0.75488;-0.319323;no
no;-5.48213;0.58338;0.306982;no
no;-5.70664;0.702751;0.319391;no
no;-4.22318;-0.393918;0.008203;no
no;-1.03559;0.427521;0.006513;no
no;-3.16617;-1.83501;-0.31949;yes
no;-3.39266;-1.77801;-0.315385;no
no;-3.19157;-1.83327;-0.319845;no
yes;-6.19878;1.82903;0.31563;no
no;-6.39648;1.82379;0.319833;no
no;-4.84277;0.238646;0.015784;no
no;-1.6312;-0.110811;0.006601;no
yes;-2.80295;-0.823519;-0.319895;yes
no;-3.12428;-0.872976;-0.306103;no
no;-2.89309;-0.846287;-0.319332;no
no;-5.68164;0.719842;0.306779;no
no;-5.90851;0.812536;0.319393;no
no;-4.42478;-0.247663;0.008157;no
no;-1.23724;0.285856;0.006544;no
no;-3.14143;-2.05157;-0.639218;yes
yes;-6.90972;0.389054;0;yes
no;-3.74532;-0.395376;0;no
no;-3.91603;-0.34331;0;no
no;-6.57868;0.459461;0;no
no;-6.74802;0.429317;0;no
no;-5.25852;0.249447;0;no
yes;-2.32978;-0.360884;0;yes
no;-4.36143;-0.18029;0;no
no;-4.1878;-0.262652;0;no
no;-7.02407;0.386939;0;no
no;-7.19498;0.321107;0;no
no;-5.71483;0.44196;0;no
no;-2.52569;-0.428044;0;no
yes;-1.70721;-0.092057;0;yes
no;-3.74839;-0.556068;0;no
no;-3.57403;-0.6146;0;no
no;-6.40806;0.671642;0;no
no;-6.58101;0.647113;0;no
no;-5.08945;0.249234;0;no
no;-1.9237;-0.233955;0;no
yes;-2.83731;-0.748684;0;yes
no;-3.63032;-0.692864;0;no
no;-3.4543;-0.746677;0;no
no;-6.2873;0.784727;0;no
no;-6.46193;0.772231;0;no
no;-4.96977;0.199754;0;no
no;-1.80464;-0.181837;0;no
yes;-2.78102;-0.638916;0;yes
no;-3.69882;-0.579532;0;no
no;-3.52062;-0.634361;0;no
no;-6.35416;0.681105;0;no
no;-6.53089;0.661983;0;no
no;-5.03786;0.218333;0;no
no;-1.87198;-0.20256;0;no
yes;-2.94801;-0.770404;0;yes
no;-3.60994;-0.700527;0;no
no;-3.43004;-0.752635;0;no
no;-6.26266;0.784903;0;no
no;-6.44111;0.775298;0;no
no;-4.94747;0.182858;0;no
no;-1.78208;-0.16464;0;no
yes;-3.07473;-1.42379;0;yes
no;-3.45437;-1.35775;0;no
no;-3.27403;-1.41449;0;no
no;-6.10694;1.40488;0;no
no;-6.28578;1.42698;0;no
no;-4.79212;0.11366;0;no
no;-1.62612;-0.078909;0;no
yes;-3.10491;-1.72754;0;yes
no;-3.41175;-1.666;0;no
no;-3.22973;-1.72199;0;no
no;-6.06356;1.68718;0;no
no;-6.2426;1.72728;0;no
no;-4.76033;0.082837;0;no
no;-1.57059;0.000356;0;no
yes;-3.05342;-1.57584;0;yes
no;-3.39581;-1.53114;0;no
no;-3.21251;-1.57801;0;no
no;-6.04473;1.53722;0;no
no;-6.2265;1.57945;0;no
no;-4.73174;0.030615;0;no
no;-1.56586;0.007811;0;no
yes;-3.04723;-1.45401;0;yes
no;-3.40486;-1.41019;0;no
no;-3.21947;-1.45608;0;no
no;-6.05072;1.42123;0;no
no;-6.23458;1.45878;0;no
no;-4.73914;0.039073;0;no
no;-1.57358;-0.004061;0;no
yes;-3.01827;-1.59465;0;yes
no;-3.34729;-1.57298;0;no
no;-3.16063;-1.60656;0;no
no;-5.99058;1.53856;0;no
no;-6.17566;1.59757;0;no
no;-4.68052;-0.051201;0;no
no;-1.51447;0.090456;0;no
yes;-3.00093;-1.45849;0;yes
no;-3.32031;-1.44958;0;no
no;-3.13059;-1.47295;0;no
no;-5.96052;1.39702;0;no
no;-6.14706;1.45941;0;no
no;-4.66329;-0.072301;0;no
no;-1.47355;0.143021;0;no
yes;-2.98545;-1.35513;0;yes
no;-3.32918;-1.34775;0;no
no;-3.13801;-1.37181;0;no
no;-5.96576;1.30328;0;no
no;-6.1553;1.36061;0;no
no;-4.65901;-0.073186;0;no
no;-1.49317;0.106377;0;no
yes;-3.01027;-1.25046;0;yes
no;-3.37077;-1.22835;0;no
no;-3.17716;-1.26053;0;no
no;-6.00439;1.21262;0;no
no;-6.19636;1.25657;0;no
no;-4.69901;-0.016872;0;no
no;-1.5335;0.047032;0;no
yes;-3.00627;-1.18969;0;yes
no;-3.37845;-1.16714;0;no
no;-3.18248;-1.19966;0;no
no;-6.00894;1.15579;0;no
no;-6.20321;1.19683;0;no
no;-4.70528;-0.008533;0;no
no;-1.53952;0.037549;0;no
no;-6.42227;1.51826;0;yes
no;-3.44249;-1.46419;0;no
no;-3.26043;-1.52225;0;no
yes;-6.24952;1.5322;0;no
no;-6.43009;1.51655;0;no
no;-4.86716;0.236326;0;no
no;-1.69229;-0.185805;0;no
yes;-2.88834;-1.23924;0;yes
no;-3.22431;-1.2757;0;no
no;-3.02672;-1.27164;0;no
no;-5.84834;1.16095;0;no
no;-6.04421;1.2437;0;no
no;-4.54775;-0.209796;0;no
no;-1.38219;0.24;0;no
no;-3.30697;-1.5172;0;yes
no;-3.37845;-1.49524;0;no
no;-3.19676;-1.53585;0;no
yes;-6.18599;1.53093;0;no
no;-6.36618;1.53289;0;no
no;-4.80335;0.139719;0;no
no;-1.62851;-0.088717;0;no
yes;-2.85479;-1.32119;0;yes
no;-3.16948;-1.37692;0;no
no;-2.97027;-1.35729;0;no
no;-5.78918;1.21277;0;no
no;-5.98665;1.31734;0;no
no;-4.49071;-0.302859;0;no
no;-1.32521;0.334895;0;no
no;-3.20174;-1.47592;0;yes
no;-3.28244;-1.46395;0;no
no;-3.09882;-1.47724;0;no
yes;-6.08701;1.45023;0;no
no;-6.26913;1.47845;0;no
no;-4.70569;-0.009902;0;no
no;-1.53113;0.058637;0;no
yes;-2.82787;-1.00485;0;yes
no;-3.18532;-1.0554;0;no
no;-2.98233;-1.04304;0;no
no;-5.79908;0.93502;0;no
no;-6.00028;1.01442;0;no
no;-4.50359;-0.218983;0;no
no;-1.33814;0.24357;0;no
no;-3.15148;-1.51643;-0.161876;yes
no;-3.28366;-1.50123;-0.159648;no
no;-3.09771;-1.51505;-0.161975;no
yes;-6.08954;1.48816;0.159788;no
no;-6.27248;1.51642;0.16197;no
no;-4.72859;0.024572;0.00722;no
no;-1.52142;0.074848;0.003401;no
yes;-2.90623;-0.941724;-0.161102;yes
no;-3.27965;-0.959209;-0.156196;no
no;-3.07289;-0.966138;-0.161688;no
no;-5.89164;0.895132;0.156499;no
no;-6.09481;0.951291;0.161722;no
no;-4.60818;-0.100735;0.00423;no
no;-1.4197;0.145772;0.003366;no
no;-3.15658;-1.56789;-0.16184;yes
no;-3.28357;-1.55228;-0.15964;no
no;-3.09616;-1.56645;-0.161972;no
yes;-6.08823;1.53836;0.159762;no
no;-6.27259;1.56798;0.161968;no
no;-4.72832;0.024976;0.007234;no
no;-1.52067;0.078575;0.003464;no
